team_fbref,team_clubelo,team_opta,team_opta_id
Arsenal,Arsenal,Arsenal,13
Aston Villa,Aston Villa,Aston Villa,24
Bournemouth,Bournemouth,Bournemouth,183
Brentford,Brentford,Brentford,189
Brighton & Hove Albion,Brighton,Brighton,211
Burnley,Burnley,Burnley,184
Cardiff City,Cardiff,Cardiff,188
Chelsea,Chelsea,Chelsea,15
Crystal Palace,Crystal Palace,Crystal Palace,162
Everton,Everton,Everton,31
Fulham,Fulham,Fulham,170
Huddersfield Town,Huddersfield,Huddersfield,166
,Hull,Hull,214
Leeds United,Leeds,Leeds,19
Leicester City,Leicester,Leicester,14
Liverpool,Liverpool,Liverpool,26
Manchester City,Man City,Man City,167
Manchester United,Man United,Man Utd,32
,Middlesbrough,Middlesbrough,21
Newcastle United,Newcastle,Newcastle,23
Norwich City,Norwich,Norwich,168
,QPR,QPR,171
,Reading,Reading,94
Sheffield United,Sheffield United,Sheff Utd,163
Southampton,Southampton,Southampton,18
Stoke City,Stoke,Stoke,96
,Sunderland,Sunderland,16
Swansea City,Swansea,Swansea,259
Tottenham Hotspur,Tottenham,Tottenham,30
Watford,Watford,Watford,27
West Bromwich Albion,West Brom,West Brom,175
West Bromwich Albion,West Brom,WBA,175
West Ham United,West Ham,West Ham,29
,Wigan,Wigan,194
Wolverhampton Wanderers,Wolves,Wolves,161
